value                                     ;replacement
",ILETIN"                                 ;"MiletÌn"
",MOST"                                   ;"Most"
",OR. BUDEJOVICE"                         ;"MoravskÈ BudÏjovice"
",OST"                                    ;"Most"
". JIRETIN"                               ;"Ji¯etÌn"
". JIÿETÕN"                               ;"Ji¯etÌn"
". KOSICE"                                ;"Koöice"
". KOäICE"                                ;"Koöice"
". USTI NAD LABEM"                        ;"⁄stÌ nad Labem"
". ⁄STÕ NAD LABEM"                        ;"⁄stÌ nad Labem"
".PAVA"                                   ;"Opava"
".PROSTEJOV"                              ;"ProstÏjov"
".STARIC"                                 ;"Sta¯ÌË"
".STAÿÕ»"                                 ;"Sta¯ÌË"
".STODULKY"                               ;"Stod˘lky"
".VETLA NAD SAZAVOU"                      ;"SvÏtl· nad S·zavou"
"/LZEN"                                   ;"PlzeÚ"
"/LZE“"                                   ;"PlzeÚ"
"/RAHA"                                   ;"Praha"
"/STI NAD ORLICI"                         ;"⁄stÌ nad OrlicÌ"
"/STÕ NAD ORLICÕ"                         ;"⁄stÌ nad OrlicÌ"
"0PAVA"                                   ;"Opava"
"0STRAVA"                                 ;"Ostrava"
"0STRAVA PORUBA"                          ;"Ostrava-Poruba"
"3 DVORY"                                 ;"T¯i Dvory"
"3 SEKERY"                                ;"T¯i Sekery"
"ADRSPACH"                                ;"Adröpach"
"ALBER"                                   ;"Albe¯"
"ALBRECHT V JIZ HOR"                      ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHT V JIZ HOR."                     ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHT V JIZ HORACH"                   ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHT V JIZ HOR¡CH"                   ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHT V JIZ. HOR"                     ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHT V JIZ. HOR."                    ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHT V JIZ. HORACH"                  ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHT V JIZ. HOR¡CH"                  ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHT V JIZ.HOR"                      ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHT V JIZ.HOR."                     ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHT V JIZ.HORACH"                   ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHT V JIZ.HOR¡CH"                   ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHT. V JIZ HOR"                     ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHT. V JIZ HOR."                    ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHT. V JIZ HORACH"                  ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHT. V JIZ HOR¡CH"                  ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHT. V JIZ. HOR"                    ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHT. V JIZ. HOR."                   ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHT. V JIZ. HORACH"                 ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHT. V JIZ. HOR¡CH"                 ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHT. V JIZ.HOR"                     ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHT. V JIZ.HOR."                    ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHT. V JIZ.HORACH"                  ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHT. V JIZ.HOR¡CH"                  ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHT.V JIZ HOR"                      ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHT.V JIZ HOR."                     ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHT.V JIZ HORACH"                   ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHT.V JIZ HOR¡CH"                   ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHT.V JIZ. HOR"                     ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHT.V JIZ. HOR."                    ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHT.V JIZ. HORACH"                  ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHT.V JIZ. HOR¡CH"                  ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHT.V JIZ.HOR"                      ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHT.V JIZ.HOR."                     ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHT.V JIZ.HORACH"                   ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHT.V JIZ.HOR¡CH"                   ;"Albrechtice v Jizersk˝ch hor·ch"
"ALBRECHTICE N O"                         ;"Albrechtice nad OrlicÌ"
"ALBRECHTICE N O."                        ;"Albrechtice nad OrlicÌ"
"ALBRECHTICE N ORL"                       ;"Albrechtice nad OrlicÌ"
"ALBRECHTICE N ORL."                      ;"Albrechtice nad OrlicÌ"
"ALBRECHTICE N ORLICI"                    ;"Albrechtice nad OrlicÌ"
"ALBRECHTICE N V"                         ;"Albrechtice nad Vltavou"
"ALBRECHTICE N V."                        ;"Albrechtice nad Vltavou"
"ALBRECHTICE N VL"                        ;"Albrechtice nad Vltavou"
"ALBRECHTICE N VL."                       ;"Albrechtice nad Vltavou"
"ALBRECHTICE N VLT"                       ;"Albrechtice nad Vltavou"
"ALBRECHTICE N VLT."                      ;"Albrechtice nad Vltavou"
"ALBRECHTICE N VLTAVOU"                   ;"Albrechtice nad Vltavou"
"ALBRECHTICE N. O"                        ;"Albrechtice nad OrlicÌ"
"ALBRECHTICE N. O."                       ;"Albrechtice nad OrlicÌ"
"ALBRECHTICE N. ORL"                      ;"Albrechtice nad OrlicÌ"
"ALBRECHTICE N. ORL."                     ;"Albrechtice nad OrlicÌ"
"ALBRECHTICE N. ORLICI"                   ;"Albrechtice nad OrlicÌ"
"ALBRECHTICE N. V"                        ;"Albrechtice nad Vltavou"
"ALBRECHTICE N. V."                       ;"Albrechtice nad Vltavou"
"ALBRECHTICE N. VL"                       ;"Albrechtice nad Vltavou"
"ALBRECHTICE N. VL."                      ;"Albrechtice nad Vltavou"
"ALBRECHTICE N. VLT"                      ;"Albrechtice nad Vltavou"
"ALBRECHTICE N. VLT."                     ;"Albrechtice nad Vltavou"
"ALBRECHTICE N. VLTAVOU"                  ;"Albrechtice nad Vltavou"
"ALBRECHTICE N./ O"                       ;"Albrechtice nad OrlicÌ"
"ALBRECHTICE N./ O."                      ;"Albrechtice nad OrlicÌ"
"ALBRECHTICE N./ ORL"                     ;"Albrechtice nad OrlicÌ"
"ALBRECHTICE N./ ORL."                    ;"Albrechtice nad OrlicÌ"
"ALBRECHTICE N./ ORLICI"                  ;"Albrechtice nad OrlicÌ"
"ALBRECHTICE N./ V"                       ;"Albrechtice nad Vltavou"
"ALBRECHTICE N./ V."                      ;"Albrechtice nad Vltavou"
"ALBRECHTICE N./ VL"                      ;"Albrechtice nad Vltavou"
"ALBRECHTICE N./ VL."                     ;"Albrechtice nad Vltavou"
"ALBRECHTICE N./ VLT"                     ;"Albrechtice nad Vltavou"
"ALBRECHTICE N./ VLT."                    ;"Albrechtice nad Vltavou"
"ALBRECHTICE N./ VLTAVOU"                 ;"Albrechtice nad Vltavou"
"ALBRECHTICE N./O"                        ;"Albrechtice nad OrlicÌ"
"ALBRECHTICE N./O."                       ;"Albrechtice nad OrlicÌ"
"ALBRECHTICE N./ORL"                      ;"Albrechtice nad OrlicÌ"
"ALBRECHTICE N./ORL."                     ;"Albrechtice nad OrlicÌ"
"ALBRECHTICE N./ORLICI"                   ;"Albrechtice nad OrlicÌ"
"ALBRECHTICE N./V"                        ;"Albrechtice nad Vltavou"
"ALBRECHTICE N./V."                       ;"Albrechtice nad Vltavou"
"ALBRECHTICE N./VL"                       ;"Albrechtice nad Vltavou"
"ALBRECHTICE N./VL."                      ;"Albrechtice nad Vltavou"
"ALBRECHTICE N./VLT"                      ;"Albrechtice nad Vltavou"
"ALBRECHTICE N./VLT."                     ;"Albrechtice nad Vltavou"
"ALBRECHTICE N./VLTAVOU"                  ;"Albrechtice nad Vltavou"
"ALBRECHTICE N.O"                         ;"Albrechtice nad OrlicÌ"
"ALBRECHTICE N.O."                        ;"Albrechtice nad OrlicÌ"
"ALBRECHTICE N.ORL"                       ;"Albrechtice nad OrlicÌ"
"ALBRECHTICE N.ORL."                      ;"Albrechtice nad OrlicÌ"
"ALBRECHTICE N.ORLICI"                    ;"Albrechtice nad OrlicÌ"
"ALBRECHTICE N.V"                         ;"Albrechtice nad Vltavou"
"ALBRECHTICE N.V."                        ;"Albrechtice nad Vltavou"
"ALBRECHTICE N.VL"                        ;"Albrechtice nad Vltavou"
"ALBRECHTICE N.VL."                       ;"Albrechtice nad Vltavou"
"ALBRECHTICE N.VLT"                       ;"Albrechtice nad Vltavou"
"ALBRECHTICE N.VLT."                      ;"Albrechtice nad Vltavou"
"ALBRECHTICE N.VLTAVOU"                   ;"Albrechtice nad Vltavou"
"ALBRECHTICE N/ O"                        ;"Albrechtice nad OrlicÌ"
"ALBRECHTICE N/ O."                       ;"Albrechtice nad OrlicÌ"
"ALBRECHTICE N/ ORL"                      ;"Albrechtice nad OrlicÌ"
"ALBRECHTICE N/ ORL."                     ;"Albrechtice nad OrlicÌ"
"ALBRECHTICE N/ ORLICI"                   ;"Albrechtice nad OrlicÌ"
"ALBRECHTICE N/ V"                        ;"Albrechtice nad Vltavou"
"ALBRECHTICE N/ V."                       ;"Albrechtice nad Vltavou"
"ALBRECHTICE N/ VL"                       ;"Albrechtice nad Vltavou"
"ALBRECHTICE N/ VL."                      ;"Albrechtice nad Vltavou"
"ALBRECHTICE N/ VLT"                      ;"Albrechtice nad Vltavou"
"ALBRECHTICE N/ VLT."                     ;"Albrechtice nad Vltavou"
"ALBRECHTICE N/ VLTAVOU"                  ;"Albrechtice nad Vltavou"
"ALBRECHTICE N/O"                         ;"Albrechtice nad OrlicÌ"
"ALBRECHTICE N/O."                        ;"Albrechtice nad OrlicÌ"
"ALBRECHTICE N/ORL"                       ;"Albrechtice nad OrlicÌ"
"ALBRECHTICE N/ORL."                      ;"Albrechtice nad OrlicÌ"
