"pattern";"replacement"
generala;gen.
kapitana;kpt.
mars.;maršála
mur.;mudr.
na/m;námìstí
na/m.;námìstí
naam.;námìstí
nab.;nábøeží
nabr.;nábøeží
nabr.;nábøeží
nabreza;nábøeží
nabrezi;nábøeží
nah.;námìstí
nah.;námìstí
nam;námìstí
nam.;námìstí
nan;námìstí
nan;námìstí
nan.;námìstí
nan.;námìstí
plukovnika;plk.
prumysl.;prùm.
prumyslova;prùm.
sidl;sídlištì
sidl.;sídlištì
tr;
tr.;
generala;gen.
kapitana;kpt.
mars.;maršála
mur.;mudr.
na/m;námìstí
na/m.;námìstí
naám.;námìstí
nab.;nábøeží
nabø.;nábøeží
nábr.;nábøeží
nábøežá;nábøeží
nábreží;nábøeží
nah.;námìstí
náh.;námìstí
nam;námìstí
nam.;námìstí
nan;námìstí
nán;námìstí
nan.;námìstí
nán.;námìstí
plukovnika;plk.
prùmysl.;prùm.
prùmyslová;prùm.
sidl;sídlištì
sidl.;sídlištì
tr;
tr.;
