value;replacement
DR. ABSOLONA;ABSOLONOVA
AK. BÃHOUNKA;AKADEMIKA BÃHOUNKA
BÃHOUNKOVA;AKADEMIKA BÃHOUNKA
AKAD. PR¡TA;AKADEMIKA PR¡TA
DR. AKSAMITA;AKSAMITOVA
KARLA AKSAMITA;AKSAMITOVA
A. MUCHY;ALFONSE MUCHY
AL. MUCHY;ALFONSE MUCHY
A. JIR¡SKA;ALOISE JIR¡SKA
AL. JIR¡SKA;ALOISE JIR¡SKA
JIR¡SKOVA;ALOISE JIR¡SKA
DR. PARMY;ALOISE PARMY
ALäOVO N¡BÿEéÕ;ALäOVO N¡Bÿ.
ALäOVO N¡MÃSTÕ;ALäOVO N¡M.
ANENSK… N¡MÃSTÕ;ANENSK… N¡M.
A. MAL…;ANEéKY MAL…
SVAT… ANEéKY »ESK…;ANEéKY »ESK…
ANT. BARCALA;ANTONÕNA BARCALA
BARCALOVA;ANTONÕNA BARCALA
BE»V¡ÿOVA;ANTONÕNA BE»V¡ÿE
ANT. FOUSKA;ANTONÕNA FOUSKA
A. PINTY;ANTONÕNA PINTY
A. Z¡POTOCK…HO;ANTONÕNA Z¡POTOCK…HO
ARBESOVO N¡MÃSTÕ;ARBESOVO N¡M.
DR. EMILA AXMANA;AXMANOVA
BABI»KOVA;BABÕ»KOVA
BALBÕNOVO N¡MÃSTÕ;BALBÕNOVO N¡M.
NPOR. O. BARTOäKA;BARTOäKOVA
BARTOäKY;BARTOäKOVA
BÿET. BARTOäE;BARTOäOVA
KPT. BARTOäE;BARTOäOVA
JOSEFA BARTOäE;BARTOäOVA
FRANT. BARTOäE;BARTOäOVA
J. BAR¡KA;BAR¡KOVA
DR. J. BAR¡KA;BAR¡KOVA
BASILEJSK… N¡MÃSTÕ;BASILEJSK… N¡M.
MJR. BAUMANNA;BAUMANOVA
AKAD. BEDRNY;BEDRNOVA
NIKOD…MOVA;BEDÿICHA NIKODEMA
BEDÿ. SMETANY;BEDÿICHA SMETANY
B. SMETANY;BEDÿICHA SMETANY
SMETANOVA;BEDÿICHA SMETANY
J. BENDY;BENDOVA
äTÃP¡NA BENDY;BENDOVA
äTÃP. BENDY;BENDOVA
DR. BENEäE;BENEäOVA
DR. ED. BENEäE;BENEäOVA
PREZ. BENEäE;BENEäOVA
EDVARDA BENEäE;BENEäOVA
VINCENCE BENEäE;BENEäOVA
DR. EDVARDA BENEäE;BENEäOVA
E. BENEäE;BENEäOVA
JANA BENEäE;BENEäOVA
DR. E. BENEäE;BENEäOVA
BER¡NKOVO N¡BÿEéÕ;BER¡NKOVO N¡Bÿ.
BETL…MSK… N¡MÃSTÕ;BETL…MSK… N¡M.
DR. BEZDÃKA;BEZDÃKOVA
BEZEJMENN¡;BEZEJMEN¡
BEZRU»OVO N¡MÃSTÕ;BEZRU»OVO N¡M.
BISKUPSK… N¡MÃSTÕ;BISKUPSK… N¡M.
BJ. KRAWCE;BJARNATA KRAWCE
