"pattern";"replacement"
akademika;akad.
bl.;
bri;bratøí
bri.;bratøí
generala;gen.
kap;kpt.
kap.;kpt.
kapitana;kpt.
kulturnim;kultur.
majora;mjr.
mars.;maršála
mat.;Matice
na.;námìstí
nab;nábøeží
nab.;nábøeží
nabr;nábøeží
nabr.;nábøeží
nam;námìstí
nam.;námìstí
nemoc.;nemocnice
pluk.;plk.
plukovnika;plk.
podhr.;podhradí
profesora;prof.
prumysl.;prùm.
prumyslova;prùm.
sam;samota
sam.;samota
sidl;sídlištì
sidl.;sídlištì
tr;
tr.;
trida;
ul;
ul.;
ulice;
akademika;akad.
bl.;
bøí;bratøí
bøí.;bratøí
generála;gen.
kap;kpt.
kap.;kpt.
kapitána;kpt.
kulturním;kultur.
majora;mjr.
marš.;maršála
mat.;Matice
ná.;námìstí
náb;nábøeží
náb.;nábøeží
nábø.;nábøeží
nám;námìstí
nám.;námìstí
nemoc.;nemocnice
pluk.;plk.
plukovníka;plk.
podhr.;podhradí
profesora;prof.
prùmysl.;prùm.
prùmyslová;prùm.
sam;samota
sam.;samota
sídl;sídlištì
sídl.;sídlištì
tø;
tø.;
tøída;
ul;
ul.;
ulice;
