value;replacement
A S;AS
A SPOL;VOS
AKC SPOL;AS
AKCIOVA SP;AS
AKCIOVA SPOL;AS
AKCIOVA SPOLECNO;AS
AKCIOVA SPOLECNOS;AS
AKCIOVA SPOLECNOST;AS
AS AS;AS
CIRK RIM KAT;RIM KAT FARNOST
CIRK.RIM-KAT.;RIM KAT FARNOST
DRUZSTVO;DRUZSTVO
K S;KS
KOM SPOL;KS
KOMANDITNI SPOL;KS
KOM SPOL;KS
KOMANDITNI SPOLECNOST;KS
MAT SKOLA;MATERSKA SKOLA
MATER SKOLA;MATERSKA SKOLA
MATERSKA SKOLA;MATERSKA SKOLA
MYSLIVECKE SDRUZENI;MS
NADACE;NADACE
NADACNI FOND;NADACNI FOND
O Z;OZ
ODB SVAZ;OS
ODBOROVY SVAZ;OS
ODSTEPNY ZAVO;OZ
ODSTEPNY ZAVOD;OZ
OZ OZ;OZ
RIM KAT F;RIM KAT FARNOST
RIM KAT FAR;RIM KAT FARNOST
RIM KAT FARNOST;RIM KAT FARNOST
RIM KAT FU;RIM KAT FARNOST
RIM KATOL FAR URAD;RIM KAT FARNOST
RIM KATOL FARNI URAD;RIM KAT FARNOST
RIM KATOL FARNOST;RIM KAT FARNOST
RIM KATOLICKA FARNOST;RIM KAT FARNOST
RIM-KAT.FARNOST;RIM KAT FARNOST
RIM.-KAT.FU;RIM KAT FARNOST
RIM.KAT.F.;RIM KAT FARNOST
RIM.KAT.FAR.;RIM KAT FARNOST
RIM.KAT.FARNOST;RIM KAT FARNOST
RIM.KATOL.FAR.URAD;RIM KAT FARNOST
RIM.KATOL.FARNI URAD;RIM KAT FARNOST
RIM.KATOL.FARNOST;RIM KAT FARNOST
RIM.KATOLICKA FARNOST;RIM KAT FARNOST
RIMKAT FARNOST;RIM KAT FARNOST
RIMKAT.FARNOST;RIM KAT FARNOST
RIMS KAT FU;RIM KAT FARNOST
RIMS.KAT.FU;RIM KAT FARNOST
RIMSKO - KATOLICKY FARNI URAD;RIM KAT FARNOST
RIMSKO KATOLICKY FARNI URAD;RIM KAT FARNOST
RIMSKO KATOLICKY FU;RIM KAT FARNOST
RIMSKOKAT F;RIM KAT FARNOST
RIMSKOKAT FAR.;RIM KAT FARNOST
RIMSKOKAT FARNOST;RIM KAT FARNOST
RIMSKOKAT.F.;RIM KAT FARNOST
RIMSKOKAT.FAR.;RIM KAT FARNOST
RIMSKOKAT.FARNOST;RIM KAT FARNOST
RIMSKOKATOL FARNOST;RIM KAT FARNOST
RIMSKOKATOL.FARNOST;RIM KAT FARNOST
RIMSKOKATOLICKA FARNOST;RIM KAT FARNOST
RIMSKOKATOLICKY FARNI URAD;RIM KAT FARNOST
S R O;SRO
SDR ROD;SRPS
SDRUZ RODICU;SRPS
SDRUZENI RODICU;SRPS
SDRUZENI RODICU A PRATEL SKOLY;SRPS
SKOL SPORT KLUB;SKOLNI SPORTOVNI KLUB
SKOL SPORTOVNI KLUB;SKOLNI SPORTOVNI KLUB
SPOL S;SRO
SPOL S R;SRO
SPOL S R O;SRO
SPOLECNOST S RUCENIM;SRO
SPOLECNOST S RUCENIM OMEZENIM;SRO
SPOLEK;SPOLEK
SPOLECNOST S RUCENIM OMEZENYM;SRO
SRO SRO;SRO
T J;TJ
TEL JEDN;TJ
TELOVYCHOVNA JEDNOTA;TJ
V D;VD
V L;V LIKVIDACI
V LIKVIDACI;V LIKVIDACI
V O S;VOS
VD VD;VD
VER OBCH  SPOL;VOS
VEREJNA OBCHODNI SPOLECNOST;VOS
VOS VOS;VOS
VYROBNI DRUZSTVO;VD
Z U;USTAV
Z S;SPOLEK
ZAPSANY USTAV;USTAV
ZAPSANY SPOLEK;SPOLEK
ZAK SKOLA;ZS
ZAKL SKOLA;ZS
ZAKLAD SKOLA;ZS
ZAKLADNI SKOLA;ZS
ZAVOD VYBOR;ZV
ZAVODNI VYBOR;ZV
ZEM DRUZSTVO;ZEMEDELSKE DRUZSTVO
ZEMED DRUZSTVO;ZEMEDELSKE DRUZSTVO
ZEMEDELSKE DRUZSTVO;ZEMEDELSKE DRUZSTVO
