"prefixSrc";"numberLength";"prefixTgt"
"01646";"5";"3536"
"01648";"5";"3538"
"01649";"5";"3599"
"01656";"5";"3546"
"016578";"4";"35478"
"01659";"5";"3549"
"01662";"5";"3542"
"01664";"5";"3544"
"01665";"5";"3545"
"01667";"5";"3547"
"01669";"5";"3549"
"01682";"5";"3522"
"01683";"5";"3523"
"01684";"5";"3524"
"01685";"5";"3525"
"01686";"5";"3526"
"01693";"5";"3533"
"01699";"5";"3599"
"0173";"6";"353"
"0179";"6";"359"
"01813";"5";"3713"
"01814";"5";"3714"
"01817";"5";"3717"
"01818";"5";"3718"
"01823";"5";"3733"
"018360";"4";"37460"
"018361";"4";"37461"
"018362";"4";"37462"
"018363";"4";"37463"
"0183645";"3";"374625"
"0183649";"3";"374629"
"018369";"4";"37469"
"01838";"5";"3748"
"01842";"5";"3742"
"01843";"5";"3743"
"01845";"5";"3745"
"01847";"5";"3747"
"01855";"5";"3715"
"01863";"5";"3763"
"01864";"5";"3764"
"018667";"4";"37657"
"018668";"4";"37638"
"018669";"4";"37639"
"01867";"5";"3767"
"01868";"5";"3768"
"01875";"5";"3765"
"01879";"5";"3769"
"01883";"5";"3793"
"01884";"5";"3794"
"01886";"5";"3796"
"01888";"5";"3798"
"01892";"5";"3792"
"01893";"5";"3793"
"01897";"5";"3797"
"01898";"5";"3798"
"0197";"6";"377"
"0198";"6";"378"
"020223";"4";"32693"
"020259";"4";"32659"
"02026";"5";"3266"
"02028";"5";"3269"
"02033";"5";"3213"
"020361";"4";"32161"
"020362";"4";"32162"
"0203657";"3";"321672"
"0203661";"3";"321671"
"0203667";"3";"321674"
"020367";"4";"32167"
"020369";"4";"32169"
"02042";"5";"3232"
"02043";"5";"3233"
"02044";"5";"3234"
"02045";"5";"3235"
"02046";"5";"3236"
"02057";"5";"3157"
"02058";"5";"3158"
"02059";"5";"3159"
"02063";"5";"3153"
"02064";"5";"3154"
"02065";"5";"3155"
"02066";"5";"3156"
"02069";"5";"3159"
"022";"7";"22"
"023";"7";"23"
"024";"7";"24"
"025";"7";"25"
"026";"7";"26"
"027";"7";"27"
"028";"7";"28"
"0296";"6";"296"
"03013";"5";"3173"
"03014";"5";"3174"
"03017";"5";"3177"
"03019";"5";"3179"
"030252";"4";"31780"
"030257";"4";"31787"
"030258";"4";"31781"
"030259";"4";"31783"
"03026";"5";"3176"
"03038";"5";"3178"
"03043";"5";"3183"
"0304811";"3";"318871"
"030482";"4";"31882"
"030484";"4";"31884"
"030485";"4";"31885"
"030486";"4";"31886"
"030487";"4";"31887"
"030488";"4";"31888"
"0304893";"3";"318853"
"03049";"5";"3189"
"030550";"4";"31850"
"030551";"4";"31851"
"030552";"4";"31852"
"030553";"4";"31853"
"030554";"4";"31854"
"0305553";"3";"318543"
"0305558";"3";"318588"
"030556";"4";"31856"
"0305572";"3";"318542"
"030558";"4";"31858"
"030559";"4";"31859"
"03064";"5";"3184"
"03066";"5";"3186"
"03067";"5";"3187"
"03069";"5";"3189"
"03112";"5";"3112"
"03113";"5";"3113"
"03116";"5";"3116"
"03117";"5";"3117"
"03118";"5";"3118"
"031221";"4";"31281"
"0312220";"3";"312820"
"0312221";"3";"312821"
"0312222";"3";"312822"
"0312223";"3";"312823"
"0312224";"3";"312824"
