'Kod','CisloDomovni','CisloOrientacni','CisloOrientacniPismeno','Psc','StavebniObjekt','Ulice','Nespravny','PlatiOd','PlatiDo','IdTransakce','GlobalniIdNavrhuZmeny','NespravneUdaje','OznacenoDne','OznacenoInfo','x','y'
'6603548','1',,,'39143','6559271',,,'2013-12-03',,'417703','465376',,,,'-721844.88','-1105738.75'
'6603769','24',,,'39143','6559492',,,'2013-12-03',,'417703','465376',,,,'-721313','-1106993.5'
'6603785','26',,,'39143','6559514',,,'2013-12-03',,'417703','465376',,,,'-721351.81','-1107042.25'
'6603793','27',,,'39143','6559522',,,'2013-12-03',,'417703','465376',,,,'-721372.38','-1107035.13'
'6603807','28',,,'39143','6559531',,,'2013-12-03',,'417703','465376',,,,'-721434','-1107089.75'
'6603823','30',,,'39143','6559557',,,'2013-12-03',,'417703','465376',,,,'-721191.06','-1107048.38'
'6603963','46',,,'39143','6559697',,,'2013-12-03',,'417703','465376',,,,'-721419.25','-1107121.88'
'6603971','47',,,'39143','6559701',,,'2013-12-03',,'417703','465376',,,,'-722386.75','-1106224.75'
'6604111','15',,,'39143','6559841',,,'2013-12-03',,'417703','465376',,,,'-720799.44','-1105236.63'
'6604366','4',,,'39165','6560091',,,'2013-12-01',,'413956','463200',,,,'-746994.31','-1135172.5'
'6604391','7',,,'39165','6560121',,,'2013-12-01',,'413956','463200',,,,'-747050.06','-1135147.5'
'6604439','12',,,'39165','6560164',,,'2013-12-01',,'413956','463200',,,,'-747170.31','-1135180.13'
'6604552','95',,,'39171','6560288',,,'2013-12-01',,'414422','463665',,,,'-747740.06','-1134430.36'
'6604579','27',,,'39165','6560300',,,'2013-12-01',,'413956','463200',,,,'-747219.44','-1135071.13'
'6604633','4',,,'39165','6560369',,,'2013-12-01',,'413956','463200',,,,'-745729.19','-1135213.5'
'6604684','9',,,'39165','6560415',,,'2013-12-01',,'413956','463200',,,,'-745818.06','-1135228'
'6604757','16',,,'39165','6560482',,,'2013-12-01',,'413956','463200',,,,'-745849.38','-1135108.38'
'6604889','11',,,'39181','6560610',,,'2013-12-07',,'425694','470783',,,,'-740149.72','-1141958.47'
'6605001','23',,,'39181','6560733',,,'2013-12-07',,'425694','470783',,,,'-739862.99','-1142143.11'
'6605079','30',,,'39181','6560806',,,'2013-12-07',,'425694','470783',,,,'-740061.82','-1142053.49'
'6605087','31',,,'39181','6560814',,,'2013-12-07',,'425694','470783',,,,'-740101.54','-1142046.46'
'6605176','40',,,'39181','6560903',,,'2013-12-07',,'425694','470783',,,,'-740197.48','-1142161.64'
'6605273','50',,,'39181','6561004',,,'2013-12-07',,'425694','470783',,,,'-740094.21','-1142344.79'
'6605362','59',,,'39181','6561098',,,'2013-12-07',,'425694','470783',,,,'-740038.24','-1142046.91'
'6605401','63',,,'39181','6561136',,,'2013-12-07',,'425694','470783',,,,'-739961.03','-1142051.45'
'6605460','69',,,'39181','6561195',,,'2013-12-07',,'425694','470783',,,,'-740273.56','-1142141.68'
'6605478','70',,,'39181','6561209',,,'2013-12-07',,'425694','470783',,,,'-740052.67','-1142160'
'6605494','72',,,'39181','6561225',,,'2013-12-07',,'425694','470783',,,,'-740318.95','-1142235.71'
'6605508','73',,,'39181','6561233',,,'2013-12-07',,'425694','470783',,,,'-740301.58','-1142193.9'
'6605516','74',,,'39181','6561241',,,'2013-12-07',,'425694','470783',,,,'-740169.01','-1142199.72'
'6605532','76',,,'39181','6561268',,,'2013-12-07',,'425694','470783',,,,'-740309.21','-1142142.27'
'6605699','92',,,'39181','6561420',,,'2013-12-07',,'425694','470783',,,,'-740369.58','-1142297.42'
'6605745','97',,,'39181','6561471',,,'2013-12-07',,'425694','470783',,,,'-740322.97','-1141889.01'
'6606105','23',,,'39132','6561837',,,'2013-12-03',,'416474','462805',,,,'-747557.25','-1112629.75'
'6606199','32',,,'39132','6561926',,,'2013-12-03',,'416474','462805',,,,'-747918.88','-1112719.75'
'6606202','33',,,'39132','6561934',,,'2013-12-03',,'416474','462805',,,,'-747502.19','-1112551.63'
'6606229','35',,,'39132','6561951',,,'2013-12-03',,'416474','462805',,,,'-747485.38','-1112489.63'
'6606245','37',,,'39132','6561977',,,'2013-12-03',,'416474','462805',,,,'-747528.31','-1112586.63'
'6606334','46',,,'39132','6562060',,,'2013-12-03',,'416474','462805',,,,'-747399.94','-1114250.13'
'6606491','62',,,'39132','6562221',,,'2013-12-03',,'416474','462805',,,,'-747220.38','-1114066'
'6606601','74',,,'39132','6562337',,,'2013-12-03',,'416474','462805',,,,'-747597.88','-1112475'
'6606644','3',,,'39133','6562370',,,'2013-12-03',,'416474','462805',,,,'-745983.78','-1112555.57'
'6606695','8',,,'39133','6562426',,,'2013-12-03',,'416474','462805',,,,'-746012.31','-1112752.38'
'6606750','14',,,'39133','6562485',,,'2013-12-03',,'416474','462805',,,,'-745983.43','-1112526.93'
'6606784','17',,,'39133','6562515',,,'2013-12-03',,'416474','462805',,,,'-745976.16','-1112481.45'
'6606873','26',,,'39133','6562604',,,'2013-12-03',,'416474','462805',,,,'-746107.96','-1112416.9'
'6606903','29',,,'39133','6562639',,,'2013-12-03',,'416474','462805',,,,'-746146.94','-1113054.38'
'6606938','32',,,'39133','6562663',,,'2013-12-03',,'416474','462805',,,,'-746005.85','-1112695.53'
'6607187','17',,,'39133','6562914',,,'2013-12-03',,'416474','462805',,,,'-746774.05','-1111569.05'
'6607306','5',,,'39201','6563031',,,'2013-12-04',,'419283','466526',,,,'-724550.72','-1134433.83'
