'Kod','Nazev','Obec','Pou','Nespravny','PlatiOd','PlatiDo','IdTransakce','GlobalniIdNavrhuZmeny','NespravneUdaje','OznacenoDne','OznacenoInfo'
12912,'Brtec',549631,,,2014-01-28,,486364,496490,,,
14389,'Březnice',552135,,,2013-10-22,,373918,445372,,,
15423,'Budislav',552143,,,2013-10-22,,373943,445566,,,
29122,'Kladruby',552241,,,2013-11-07,,388564,449553,,,
30571,'Osikovec',553328,,,2014-04-23,,587580,565558,,,
38857,'Rašovice',560481,,,2013-11-13,,394155,451864,,,
53406,'Červené Záhoří',552461,,,2013-10-23,,375483,446497,,,
53414,'Chotoviny',552461,,,2013-10-23,,375483,446497,,,
53465,'Sedlečko',552461,,,2013-10-23,,375585,446562,,,
53473,'Vrážná',552461,,,2013-10-23,,375585,446562,,,
61131,'Cunkov',552534,,,2013-12-19,,438750,460312,,,
61158,'Chlum',552534,,,2013-12-19,,438750,460312,,,
61204,'Pohoří',552534,,,2013-12-19,,438123,460498,,,
61221,'Zvěstonín',552534,,,2013-12-19,,438123,460498,,,
66575,'Kloužovice',552496,,,2013-10-24,,378119,446877,,,
105937,'Nová Ves u Mladé Vožice',563455,,,2014-01-31,,494094,502904,,,
112283,'Křivošín',552534,,,2013-12-19,,438750,460312,,,
112313,'Ostrý',552534,,,2013-12-19,,438750,460312,,,
112348,'Smrkov',552534,,,2013-12-19,,438123,460498,,,
120430,'Hronova Vesec',549631,,,2014-01-28,,486364,496490,,,
124699,'Horní Hrachovice',560529,,,2013-11-07,,388696,449586,,,
124702,'Pohnánec',560553,,,2014-02-17,,522263,522535,,,
124974,'Dolní Světlá',552861,,,2014-02-19,,525652,522931,,,
134503,'Kvasejovice',552895,,,2014-02-26,,537819,530028,,,
137511,'Radenín',552917,,,2014-03-12,,552729,533726,,,
139858,'Malenín',552992,,,2014-03-13,,554996,537012,,,
145149,'Kášovice',553034,,,2014-02-27,,540188,540710,,,
149543,'Javor',599026,,,2014-03-19,,556338,545209,,,
158879,'Sudoměřice u Bechyně',553166,,,2014-03-26,,564897,553024,,,
162213,'Šebířov',553204,,,2014-04-01,,570740,553726,,,
176133,'Val',553255,,,2014-04-14,,581512,560921,,,
180432,'Vesce',553263,,,2014-04-16,,583843,563468,,,
188531,'Vrcholtovice',553204,,,2014-04-01,,570740,553726,,,
190713,'Mažice',562866,,,2014-01-21,,473260,489143,,,
195821,'Želeč',553417,,,2014-04-29,,592453,570924,,,
330647,'Slupy',599026,,,2014-03-19,,556338,545209,,,
415171,'Větrov',549631,,,2014-01-28,,486365,496591,,,
415782,'Dubina',552704,,,2014-01-23,,478005,491820,,,
7668,'Borotín',552101,,,2013-10-11,,367310,444476,,,
8966,'Bradáčov',552127,,,2013-10-17,,369940,444702,,,
27375,'Dobronice u Bechyně',552224,,,2013-11-05,,385693,449235,,,
32182,'Meziříčí',563234,,,2014-01-22,,474767,490085,,,
38831,'Hlasivo',560481,,,2013-11-13,,394155,451864,,,
38938,'Hlavatce',552321,,,2013-11-13,,394155,451864,,,
40380,'Hodonice',562904,,,2013-11-14,,395308,452313,,,
46191,'Hoštice',552747,,,2014-01-30,,491603,499506,,,
53431,'Moraveč',552461,,,2013-10-23,,375483,446497,,,
68667,'Komárov',599280,,,2014-01-03,,449642,473032,,,
75582,'Křekovice',553204,,,2014-04-01,,570740,553726,,,
89702,'Lžín',552208,,,2013-11-04,,384746,448901,,,
91294,'Staré Lány',552666,,,2014-01-20,,471198,488743,,,
91936,'Zhoř u Tábora',560430,,,2014-04-28,,590873,569533,,,
105881,'Turovec',551601,,,2014-04-14,,580062,558698,,,
112330,'Podol',552534,,,2013-12-19,,438123,460498,,,
120456,'Petříkovice',549631,,,2014-01-28,,486364,496490,,,
124729,'Mostek',560529,,,2013-11-07,,388696,449586,,,
124966,'Blatnice',552861,,,2014-02-19,,525652,522931,,,
132900,'Prasetín',552241,,,2013-11-07,,388696,449586,,,
137596,'Radětice',552925,,,2014-03-13,,554834,534284,,,
137901,'Radimovice u Želče',552933,,,2014-03-13,,554866,534768,,,
139882,'Ratibořské Hory',552992,,,2014-03-13,,554996,537012,,,
145157,'Oltyně',552801,,,2014-02-10,,507874,508613,,,
