'Kod','Nazev','StatusKod','Okres','Pou','Nespravny','PlatiOd','PlatiDo','IdTransakce','GlobalniIdNavrhuZmeny','NespravneUdaje','OznacenoDne','OznacenoInfo'
552453,'Chotěmice',2,3308,981,,2011-07-02,,2293,116539,,,
552534,'Jistebnice',3,3308,990,,2014-02-10,,510235,522346,,,
552895,'Přehořov',2,3308,981,,2013-08-14,,287736,428778,,,
553069,'Sezimovo Ústí',3,3308,973,,2012-11-23,,91972,347106,,,
553123,'Smilovy Hory',2,3308,965,,2014-05-07,,596572,578943,,,
553204,'Šebířov',2,3308,965,,2014-03-26,,566609,563347,,,
563366,'Bečice',2,3308,990,,2011-07-02,,2293,116539,,,
563447,'Vlčeves',2,3308,990,,2013-08-29,,300018,432364,,,
552101,'Borotín',6,3308,990,,2014-03-26,,566306,563141,,,
552291,'Dražičky',2,3308,990,,2011-07-02,,2293,116539,,,
552941,'Radkov',2,3308,990,,2014-02-10,,510235,522346,,,
560481,'Hlasivo',2,3308,965,,2011-07-02,,2293,116539,,,
560553,'Pohnánec',2,3308,990,,2012-11-23,,91972,347106,,,
560634,'Krátošice',2,3308,990,,2013-10-11,,367046,444479,,,
562904,'Hodonice',2,3308,957,,2011-07-02,,2293,116539,,,
563196,'Radimovice u Tábora',2,3308,990,,2014-02-10,,510235,522346,,,
599000,'Záhoří',2,3308,957,,2011-07-02,,4142,118163,,,
599271,'Zlukov',2,3308,1007,,2013-08-14,,287736,428778,,,
599280,'Komárov',2,3308,981,,2012-11-23,,91972,347106,,,
530042,'Katov',2,3308,981,,2011-07-02,,4068,116598,,,
552283,'Dražice',2,3308,990,,2011-07-02,,2293,116539,,,
552798,'Oldřichov',2,3308,965,,2011-07-02,,4068,116598,,,
552933,'Radimovice u Želče',2,3308,990,,2014-03-31,,569665,565787,,,
553034,'Řepeč',2,3308,990,,2011-07-02,,4139,118010,,,
560626,'Rodná',2,3308,990,,2011-07-02,,4139,118010,,,
563765,'Drahov',2,3308,1007,,2011-07-02,,2293,116539,,,
563927,'Zadní Střítež',2,3308,990,,2012-11-23,,91972,347106,,,
599263,'Sedlečko u Soběslavě',2,3308,981,,2011-07-02,,4139,118010,,,
552275,'Dráchov',2,3308,981,,2014-02-19,,527694,536582,,,
552852,'Pohnání',2,3308,990,,2014-05-29,,612383,586414,,,
552861,'Pojbuky',2,3308,990,,2012-11-23,,91972,347106,,,
552925,'Radětice',2,3308,957,,2011-07-02,,4139,118010,,,
553298,'Vlastiboř',2,3308,981,,2013-11-27,,409079,460405,,,
563170,'Svrabov',2,3308,990,,2011-07-02,,4139,118010,,,
563251,'Balkova Lhota',2,3308,990,,2014-02-10,,510235,522346,,,
599255,'Mezná',2,3308,981,,2012-05-18,,27938,192997,,,
552763,'Nová Ves u Chýnova',2,3308,990,,2011-07-02,,4068,116598,,,
552917,'Radenín',2,3308,990,,2013-10-21,,371967,446263,,,
