'Kod','CislaDomovni','IdentifikacniParcela','TypStavebnihoObjektuKod','ZpusobVyuzitiKod','CastObce','Momc','Nespravny','PlatiOd','PlatiDo','IdTransakce','GlobalniIdNavrhuZmeny','IsknBudovaId','Dokonceni','ZastavenaPlocha','NespravneUdaje','OznacenoDne','OznacenoInfo','IdentifikactniParcela','PocetBytu','PocetPodlazi','PodlahovaPlocha','VybaveniVytahemKod','x','y'
6559336,'7',2420440308,1,3,1899,,,2013-12-26,,443411,479564,294489308,,,,,,,1,1,,2,-721384.56,-1106911.25
6559417,'15',2420449308,1,3,1899,,,2013-12-26,,443411,479564,294475308,,,,,,,2,1,,2,-721238.63,-1106873.13
6559786,'9',2420492308,1,3,1902,,,2013-12-26,,443411,479564,294529308,,,,,,,1,,,9,-720786.25,-1105609.13
6559867,'17',2420496308,1,3,1902,,,2013-12-26,,443411,479564,294484308,,,,,,,1,1,,9,-720832.88,-1105532.13
6559956,'26',2420522308,1,3,1902,,,2013-12-26,,443411,479564,294497308,,,,,,,1,1,,2,-720734.44,-1105948.88
6560075,'2',2429258308,1,3,5177,,,2014-02-07,,506268,519259,295161308,,,,,,,1,,,9,-747042.94,-1135108.88
6560156,'11',2429273308,1,3,5177,,,2014-02-07,,506268,519259,295132308,,,,,,,1,1,,9,-747096.19,-1135184
6560237,'93',29510902010,1,3,14389,,,2013-08-29,,330896,432616,15853654010,,,,,,,1,,,2,-747776.14,-1134458.63
6560326,'97',29510906010,1,3,14389,,,2013-08-29,,330896,432616,15853658010,,,,,,,1,,,2,-747718.26,-1134424.16
6560407,'8',2429288308,1,3,5193,,,2014-02-07,,506268,519259,295129308,,,,,,,1,1,,9,-745796.94,-1135246.13
6560687,'18',2430538308,1,7,7609,,,2013-12-22,,441330,477517,295276308,,,,,,,1,1,,9,-739958.29,-1141999.14
6560776,'27',2430520308,1,7,7609,,,2013-12-22,,441330,477517,295211308,,,,,,,1,1,,2,-739989.52,-1142052.4
6560857,'35',2430510308,1,15,7609,,,2011-07-01,,0,0,295349308,,,,,,,0,,,,-740114.98,-1142126.74
6560938,'43',2430563308,1,7,7609,,,2013-12-22,,441330,477517,295208308,,,,,,,1,1,,2,-740232.29,-1142134.48
6561039,'53',2430579308,1,7,7609,,,2013-12-22,,441330,477517,295274308,,,,,,,1,1,,9,-740131.39,-1142300.22
6561101,'60',2430548308,1,7,7609,,,2013-12-22,,441330,477517,295316308,,,,,,,1,1,,9,-740133.57,-1141969.21
6561110,'61',2430532308,1,7,7609,,,2013-12-22,,441330,477517,295226308,,,,,,,1,1,,9,-739898.28,-1142064.18
6561489,'98',2430641308,1,7,7609,,,2013-12-22,,441330,477517,295283308,,,,,,,1,1,,2,-740279.48,-1141934.95
6561551,'105',2430616308,1,11,7609,,,2013-12-22,,441330,477517,295321308,,,,,,,0,1,,2,-739292.81,-1141711.51
6561560,'106',2430669308,1,7,7609,,,2013-12-22,,441330,477517,295269308,,,,,,,1,1,,2,-739898.56,-1142151.82
6561632,'3',2437236308,1,3,8796,,,2013-12-22,,441380,477575,295702308,,,,,,,0,1,,9,-747663.94,-1112659.63
6561641,'4',2437345308,1,3,8796,,,2013-12-22,,441380,477575,295747308,,,,,,,1,1,,2,-747707.06,-1112741.75
6561721,'12',2437224308,1,7,8796,,,2013-12-22,,441380,477575,295730308,,,,,,,1,1,,9,-747769.38,-1112478
6561730,'13',2437226308,1,3,8796,,,2013-12-22,,441380,477575,295704308,,,,,,,1,1,,2,-747781.69,-1112512
6561802,'20',2437248308,1,3,8796,,,2013-12-22,,441380,477575,295744308,,,,,,,1,1,,9,-747760.25,-1112696.13
6561811,'21',2437241308,1,3,8796,,,2013-12-22,,441380,477575,295659308,,,,,,,1,1,,2,-747717.44,-1112705.63
6562183,'58',2437332308,1,3,8796,,,2013-12-22,,441380,477575,295716308,,,,,,,2,1,,2,-747831.38,-1112527.13
6562264,'66',2437319308,1,3,8796,,,2013-12-22,,441380,477575,295688308,,,,,,,2,1,,2,-747195.06,-1113887
6562353,'1',2473443308,1,3,8818,,,2013-12-22,,441380,477575,299232308,,,,,,,1,1,,9,-745929.22,-1112509.07
6562434,'9',2473461308,1,3,8818,,,2013-12-22,,441380,477575,299255308,,,,,,,2,1,,2,-746028.35,-1112605.55
6562515,'17',2473445308,1,3,8818,,,2013-12-22,,441380,477575,299230308,,,,,,,1,1,,2,-745976.16,-1112481.45
6562884,'14',2721041308,1,7,8834,,,2013-12-22,,441380,477575,328401308,,,,,,,1,1,,2,-747041.42,-1111555.07
6562965,'23',2721029308,1,3,8834,,,2013-12-22,,441380,477575,328386308,,,,,,,1,,,9,-747079.7,-1111352.35
6563066,'8',2445171308,1,7,15423,,,2013-12-22,,441336,477523,296129308,,,,,,,1,1,,2,-724610.84,-1134494.05
6563147,'16',2445116308,1,7,15423,,,2013-12-22,,441336,477523,296058308,,,,,,,2,1,,2,-724622.43,-1134596.07
6563228,'24',2445123308,1,7,15423,,,2013-12-22,,441336,477523,296098308,,,,,,,1,1,,9,-724697.92,-1134542.95
6563317,'33',2445133308,1,7,15423,,,2013-12-22,,441336,477523,296080308,,,,,,,1,1,,9,-724839.02,-1134505.88
6563597,'61',2445183308,1,7,15423,,,2013-12-22,,441336,477523,296211308,,,,,,,1,1,,2,-724909.23,-1134415.16
6563686,'70',2445208308,1,7,15423,,,2013-12-22,,441336,477523,296059308,,,,,,,1,1,,9,-724381.42,-1134627.18
6563767,'78',2445236308,1,7,15423,,,2013-12-22,,441336,477523,296101308,,,,,,,2,1,,2,-724418.3,-1134755.63
6563848,'90',,1,,15423,,,2011-07-01,,0,0,,,,,,,,,,,,,
6563929,'98',2445289308,1,7,15423,,,2013-12-22,,441336,477523,296124308,,,,,,,1,1,,2,-724528,-1134704.56
6564011,'104',2445291308,2,8,15423,,,2011-07-01,,0,0,296198308,,,,,,,0,,,,-724965.63,-1134468.81
6564291,'4',2462761308,1,3,26093,,,2013-12-22,,441345,477532,298034308,,,,,,,1,1,,2,-725110,-1140250
6564399,'14',2462771308,1,3,26093,,,2013-12-22,,441345,477532,298067308,,,,,,,1,1,,9,-725239.56,-1140062.13
6564461,'21',2462778308,1,3,26093,,,2013-12-22,,441345,477532,298026308,,,,,,,1,1,,9,-725169.31,-1140058.13
6564470,'22',2462779308,1,3,26093,,,2013-12-22,,441345,477532,297981308,,,,,,,1,1,,9,-725140,-1140040
6564542,'29',2462756308,1,3,26093,,,2013-12-22,,441345,477532,298082308,,,,,,,4,2,,2,-725093.06,-1140164.75
6564551,'30',2462759308,1,3,26093,,,2013-12-22,,441345,477532,298051308,,,,,,,1,1,,9,-725080,-1140200
6564631,'38',2462746308,1,14,26093,,,2013-12-22,,441345,477532,533069308,,,,,,,0,1,,9,-724995,-1140140
6564640,'39',2462745308,1,3,26093,,,2013-12-22,,441345,477532,297997308,,,,,,,1,1,,9,-724992.31,-1140151.38
6564712,'46',2462782308,1,3,26093,,,2013-12-22,,441345,477532,298043308,,,,,,,1,1,,2,-725023.44,-1139968.38
6564721,'47',2462818308,1,3,26093,,,2013-12-22,,441345,477532,297995308,,,,,,,1,1,,2,-725050.88,-1139967.5
6564992,'74',2462815308,1,3,26093,,,2013-12-22,,441345,477532,298086308,,,,,,,0,,,9,-725138,-1140414
6565093,'84',2462821308,1,3,26093,,,2013-12-22,,441345,477532,297979308,,,,,,,1,1,,9,-725212.13,-1140428.75
6565174,'92',,1,,26093,,,2011-07-01,,0,0,,,,,,,,0,,,,-725001,-1139907
6565255,'100',2462870308,1,7,26093,,,2013-12-22,,441345,477532,298065308,,,,,,,1,1,,2,-724780,-1140000
6565344,'6',2608649308,1,3,26107,,,2013-12-22,,441345,477532,312855308,,,,,,,1,1,,2,-725329.06,-1137555.38
6565425,'14',3490255308,1,7,26107,,,2013-12-22,,441345,477532,541068308,,,,,,,1,1,,2,-725501,-1137726
6565506,'6',2789735308,1,3,26115,,,2013-12-22,,441345,477532,339416308,,,,,,,1,,,9,-726181.25,-1139355.13
6565794,'35',2789755308,1,3,26115,,,2011-07-01,,0,0,339428308,,,,,,,0,,,,-726144.69,-1139321.25
6565875,'4',2792208308,1,3,26123,,,2013-12-22,,441345,477532,339497308,,,,,,,1,1,,2,-726949.38,-1140435
6565956,'12',2792184308,1,3,26123,,,2013-12-22,,441345,477532,339475308,,,,,,,1,1,,2,-726960.69,-1140325.75
6566057,'1',2464512308,1,3,26409,,,2013-12-30,,444979,480717,298113308,,,,,,,1,1,,2,-727264.69,-1127816
6566138,'9',2464542308,1,7,26409,,,2013-12-30,,444979,480717,298163308,,,,,,,1,1,,2,-727474,-1127525.25
