'Kod','Nazev','Obec','Pou','Nespravny','PlatiOd','PlatiDo','IdTransakce','GlobalniIdNavrhuZmeny','NespravneUdaje','OznacenoDne','OznacenoInfo'
571326,'Klášterní',552054,,,2011-07-01,,0,0,,,
571423,'Novodvorská',552054,,,2011-07-01,,0,0,,,
571431,'Prádlo',552054,,,2011-07-01,,0,0,,,
571466,'Písecká',552054,,,2014-05-27,,610956,585661,,,
571547,'Školní',552054,,,2011-07-01,,0,0,,,
571644,'Družstevní',552461,,,2011-07-01,,0,0,,,
571971,'Široká',552461,,,2011-07-01,,0,0,,,
572004,'U Parku',552461,,,2011-07-01,,0,0,,,
572012,'Úzká',552461,,,2011-07-01,,0,0,,,
572098,'Kobylinská',552496,,,2011-07-01,,0,0,,,
572144,'Mlýnská',552496,,,2013-10-30,,381977,448878,,,
572161,'Na Skalici',552496,,,2014-02-10,,510209,520994,,,
572195,'Nekutova',552496,,,2014-03-31,,569735,565624,,,
572241,'Tyršova',552496,,,2011-07-01,,0,0,,,
572403,'Drahnětická',552534,,,2011-07-01,,0,0,,,
572446,'Kaplice',552534,,,2014-05-26,,609466,585202,,,
572578,'Ovčín',563986,,,2011-07-01,,0,0,,,
572667,'K Nádraží',552666,,,2011-07-01,,0,0,,,
572756,'Táborská',552666,,,2014-05-06,,595972,578638,,,
572969,'Nad Pilou',552704,,,2011-09-09,,0,276,,,
572985,'Obránců míru',552704,,,2011-07-01,,0,0,,,
572993,'Onešova',552704,,,2011-07-01,,0,0,,,
573256,'Lipová',552704,,,2011-07-01,,0,0,,,
573329,'Pivovarská',549631,,,2011-07-01,,0,0,,,
573345,'5. května',549631,,,2014-05-13,,599849,580176,,,
573396,'ČSLA',552828,,,2013-10-22,,374165,446005,,,
573469,'Na Sádkách',552828,,,2014-01-14,,463593,489961,,,
573477,'Nad Hejtmanem',552828,,,2014-02-28,,540724,546835,,,
573493,'Okrouhlická',552828,,,2014-01-14,,463593,489961,,,
573531,'Příčná',552828,,,2014-01-14,,463593,489961,,,
573540,'Samoty',552828,,,2014-02-28,,540724,546835,,,
573558,'Soukenická',552828,,,2014-02-28,,540724,546835,,,
573752,'Soukeník',552828,,,2011-07-01,,0,0,,,
573850,'Čapkova',553069,,,2011-07-01,,0,0,,,
573949,'Jilemnického',553069,,,2011-07-01,,0,0,,,
573990,'Kánišova',553069,,,2013-11-15,,396450,453712,,,
574091,'Nerudova',553069,,,2013-11-15,,396450,453712,,,
574180,'Sokolovská',553069,,,2011-07-01,,0,0,,,
574350,'Samota',553069,,,2011-07-01,,0,0,,,
574601,'Husova',553131,,,2011-07-01,,0,0,,,
574643,'Jungmannova',553131,,,2013-10-29,,380714,448629,,,
574937,'Nerudova',553131,,,2011-07-01,,0,0,,,
575097,'Tyršova',553131,,,2013-11-28,,410653,461072,,,
575356,'U Čejnova',553131,,,2011-07-01,,0,0,,,
575488,'Angela Kančeva',552046,,,2014-02-25,,536114,543320,,,
575666,'Buzulucká',552046,,,2011-07-01,,0,0,,,
575691,'Choustnická',552046,,,2013-10-25,,378903,448188,,,
576034,'Husovo nám.',552046,,,2011-07-01,,0,0,,,
576069,'Jaroslava Vacka',552046,,,2011-07-01,,0,0,,,
576301,'Korandova',552046,,,2014-05-07,,597036,579168,,,
