"ADRESA_KOD";"PSC";"CISLO_POPISNE";"COBCE_NAZEV";"MCAST_NAZEV";"ULICE_NAZEV";"OBEC_NAZEV";"OKRES_NAZEV";"KRAJ_NAZEV";"POSTA_NAZEV";"CISLO_ORIENTACNI";"CISLO_POPISNE_TYP";"CISLO_EVIDENCNI"
"6603548";"39143";"1";"Běleč";;;"Běleč";"Tábor";"Jihočeský kraj";;;"1";
"6603769";"39143";"24";"Běleč";;;"Běleč";"Tábor";"Jihočeský kraj";;;"1";
"6603785";"39143";"26";"Běleč";;;"Běleč";"Tábor";"Jihočeský kraj";;;"1";
"6603793";"39143";"27";"Běleč";;;"Běleč";"Tábor";"Jihočeský kraj";;;"1";
"6603807";"39143";"28";"Běleč";;;"Běleč";"Tábor";"Jihočeský kraj";;;"1";
"6603823";"39143";"30";"Běleč";;;"Běleč";"Tábor";"Jihočeský kraj";;;"1";
"6603963";"39143";"46";"Běleč";;;"Běleč";"Tábor";"Jihočeský kraj";;;"1";
"6603971";"39143";"47";"Běleč";;;"Běleč";"Tábor";"Jihočeský kraj";;;"1";
"6604111";"39143";"15";"Bzová";;;"Běleč";"Tábor";"Jihočeský kraj";;;"1";
"6604366";"39165";"4";"Blatec";;;"Hodětín";"Tábor";"Jihočeský kraj";;;"1";
"6604391";"39165";"7";"Blatec";;;"Hodětín";"Tábor";"Jihočeský kraj";;;"1";
"6604439";"39165";"12";"Blatec";;;"Hodětín";"Tábor";"Jihočeský kraj";;;"1";
"6604552";"39171";"95";"Březnice";;;"Březnice";"Tábor";"Jihočeský kraj";;;"1";
"6604579";"39165";"27";"Blatec";;;"Hodětín";"Tábor";"Jihočeský kraj";;;"1";
"6604633";"39165";"4";"Nová Ves";;;"Hodětín";"Tábor";"Jihočeský kraj";;;"1";
"6604684";"39165";"9";"Nová Ves";;;"Hodětín";"Tábor";"Jihočeský kraj";;;"1";
"6604757";"39165";"16";"Nová Ves";;;"Hodětín";"Tábor";"Jihočeský kraj";;;"1";
"6604889";"39181";"11";"Borkovice";;;"Borkovice";"Tábor";"Jihočeský kraj";;;"1";
"6605001";"39181";"23";"Borkovice";;;"Borkovice";"Tábor";"Jihočeský kraj";;;"1";
"6605079";"39181";"30";"Borkovice";;;"Borkovice";"Tábor";"Jihočeský kraj";;;"1";
"6605087";"39181";"31";"Borkovice";;;"Borkovice";"Tábor";"Jihočeský kraj";;;"1";
"6605176";"39181";"40";"Borkovice";;;"Borkovice";"Tábor";"Jihočeský kraj";;;"1";
"6605273";"39181";"50";"Borkovice";;;"Borkovice";"Tábor";"Jihočeský kraj";;;"1";
"6605362";"39181";"59";"Borkovice";;;"Borkovice";"Tábor";"Jihočeský kraj";;;"1";
"6605401";"39181";"63";"Borkovice";;;"Borkovice";"Tábor";"Jihočeský kraj";;;"1";
"6605460";"39181";"69";"Borkovice";;;"Borkovice";"Tábor";"Jihočeský kraj";;;"1";
"6605478";"39181";"70";"Borkovice";;;"Borkovice";"Tábor";"Jihočeský kraj";;;"1";
"6605494";"39181";"72";"Borkovice";;;"Borkovice";"Tábor";"Jihočeský kraj";;;"1";
"6605508";"39181";"73";"Borkovice";;;"Borkovice";"Tábor";"Jihočeský kraj";;;"1";
"6605516";"39181";"74";"Borkovice";;;"Borkovice";"Tábor";"Jihočeský kraj";;;"1";
"6605532";"39181";"76";"Borkovice";;;"Borkovice";"Tábor";"Jihočeský kraj";;;"1";
"6605699";"39181";"92";"Borkovice";;;"Borkovice";"Tábor";"Jihočeský kraj";;;"1";
"6605745";"39181";"97";"Borkovice";;;"Borkovice";"Tábor";"Jihočeský kraj";;;"1";
"6606105";"39132";"23";"Božejovice";;;"Jistebnice";"Tábor";"Jihočeský kraj";;;"1";
"6606199";"39132";"32";"Božejovice";;;"Jistebnice";"Tábor";"Jihočeský kraj";;;"1";
"6606202";"39132";"33";"Božejovice";;;"Jistebnice";"Tábor";"Jihočeský kraj";;;"1";
"6606229";"39132";"35";"Božejovice";;;"Jistebnice";"Tábor";"Jihočeský kraj";;;"1";
"6606245";"39132";"37";"Božejovice";;;"Jistebnice";"Tábor";"Jihočeský kraj";;;"1";
"6606334";"39132";"46";"Božejovice";;;"Jistebnice";"Tábor";"Jihočeský kraj";;;"1";
"6606491";"39132";"62";"Božejovice";;;"Jistebnice";"Tábor";"Jihočeský kraj";;;"1";
"6606601";"39132";"74";"Božejovice";;;"Jistebnice";"Tábor";"Jihočeský kraj";;;"1";
"6606644";"39133";"3";"Drahnětice";;;"Jistebnice";"Tábor";"Jihočeský kraj";;;"1";
"6606695";"39133";"8";"Drahnětice";;;"Jistebnice";"Tábor";"Jihočeský kraj";;;"1";
"6606750";"39133";"14";"Drahnětice";;;"Jistebnice";"Tábor";"Jihočeský kraj";;;"1";
"6606784";"39133";"17";"Drahnětice";;;"Jistebnice";"Tábor";"Jihočeský kraj";;;"1";
"6606873";"39133";"26";"Drahnětice";;;"Jistebnice";"Tábor";"Jihočeský kraj";;;"1";
"6606903";"39133";"29";"Drahnětice";;;"Jistebnice";"Tábor";"Jihočeský kraj";;;"1";
"6606938";"39133";"32";"Drahnětice";;;"Jistebnice";"Tábor";"Jihočeský kraj";;;"1";
"6607187";"39133";"17";"Svoříž";;;"Jistebnice";"Tábor";"Jihočeský kraj";;;"1";
"6607306";"39201";"5";"Budislav";;;"Budislav";"Tábor";"Jihočeský kraj";;;"1";
"6607519";"39201";"26";"Budislav";;;"Budislav";"Tábor";"Jihočeský kraj";;;"1";
"6607667";"39201";"41";"Budislav";;;"Budislav";"Tábor";"Jihočeský kraj";;;"1";
"6607748";"39201";"49";"Budislav";;;"Budislav";"Tábor";"Jihočeský kraj";;;"1";
"6607802";"39201";"55";"Budislav";;;"Budislav";"Tábor";"Jihočeský kraj";;;"1";
"6607993";"39201";"74";"Budislav";;;"Budislav";"Tábor";"Jihočeský kraj";;;"1";
"6608078";"39201";"82";"Budislav";;;"Budislav";"Tábor";"Jihočeský kraj";;;"1";
"6608108";"39201";"85";"Budislav";;;"Budislav";"Tábor";"Jihočeský kraj";;;"1";
"6608124";"39201";"91";"Budislav";;;"Budislav";"Tábor";"Jihočeský kraj";;;"1";
"6608175";"39201";"96";"Budislav";;;"Budislav";"Tábor";"Jihočeský kraj";;;"1";
"6608531";"39127";"1";"Dírná";;;"Dírná";"Tábor";"Jihočeský kraj";;;"1";
"6608540";"39127";"2";"Dírná";;;"Dírná";"Tábor";"Jihočeský kraj";;;"1";
"6608663";"39127";"14";"Dírná";;;"Dírná";"Tábor";"Jihočeský kraj";;;"1";
"6608680";"39127";"16";"Dírná";;;"Dírná";"Tábor";"Jihočeský kraj";;;"1";
"6608752";"39127";"23";"Dírná";;;"Dírná";"Tábor";"Jihočeský kraj";;;"1";
"6608779";"39127";"25";"Dírná";;;"Dírná";"Tábor";"Jihočeský kraj";;;"1";
"6608795";"39127";"27";"Dírná";;;"Dírná";"Tábor";"Jihočeský kraj";;;"1";
"6608833";"39127";"31";"Dírná";;;"Dírná";"Tábor";"Jihočeský kraj";;;"1";
"6608949";"39127";"42";"Dírná";;;"Dírná";"Tábor";"Jihočeský kraj";;;"1";
"6609104";"39127";"58";"Dírná";;;"Dírná";"Tábor";"Jihočeský kraj";;;"1";
"6609147";"39127";"62";"Dírná";;;"Dírná";"Tábor";"Jihočeský kraj";;;"1";
"6609210";"39127";"69";"Dírná";;;"Dírná";"Tábor";"Jihočeský kraj";;;"1";
"6609236";"39127";"71";"Dírná";;;"Dírná";"Tábor";"Jihočeský kraj";;;"1";
"6609406";"39127";"88";"Dírná";;;"Dírná";"Tábor";"Jihočeský kraj";;;"1";
"6609465";"39127";"94";"Dírná";;;"Dírná";"Tábor";"Jihočeský kraj";;;"1";
"6609538";"39127";"101";"Dírná";;;"Dírná";"Tábor";"Jihočeský kraj";;;"1";
"6609597";"39201";"4";"Nová Ves";;;"Dírná";"Tábor";"Jihočeský kraj";;;"1";
"6609601";"39201";"5";"Nová Ves";;;"Dírná";"Tábor";"Jihočeský kraj";;;"1";
