'psc','nazev','stav','plati_od','plati_do'
39005,'Tábor 5',1,2011-07-01,
39101,'Sezimovo Ústí 1',1,2011-07-01,
39156,'Tábor 4',1,2011-07-01,
39165,'Bechyně',1,2011-07-01,
39174,'Želeč u Tábora',1,2011-07-01,
39102,'Sezimovo Ústí 2',1,2011-07-01,
39111,'Planá nad Lužnicí',1,2011-07-01,
39120,'Radenín',1,2011-07-01,
39175,'Malšice',1,2011-07-01,
39201,'Soběslav',1,2011-07-01,
39121,'Turovec',1,2011-07-01,
39176,'Slapy u Tábora',1,2011-07-01,
39131,'Dražice',1,2011-07-01,
39852,'Nadějkov',1,2011-07-01,
39132,'Božejovice',1,2011-07-01,
39501,'Pacov',1,2011-07-01,
39133,'Jistebnice',1,2011-07-01,
39142,'Ratibořské Hory',1,2011-07-01,
37821,'Kardašova Řečice',1,2011-07-01,
39001,'Tábor 1',1,2011-07-01,
39116,'Myslkovice',1,2011-07-01,
39143,'Mladá Vožice',1,2011-07-01,
39152,'Smilovy Hory',1,2011-07-01,
39161,'Opařany',1,2011-07-01,
39002,'Tábor 2',1,2011-07-01,
39117,'Košice u Soběslavě',1,2011-07-01,
39126,'Tučapy u Soběslavě',1,2011-07-01,
39135,'Borotín u Tábora',1,2011-07-01,
39153,'Vodice u Tábora',1,2011-07-01,
39162,'Stádlec',1,2011-07-01,
39171,'Březnice u Bechyně',1,2011-07-01,
37501,'Týn nad Vltavou 1',1,2011-07-01,
39003,'Tábor 3',1,2011-07-01,
39118,'Choustník',1,2011-07-01,
39127,'Dírná',1,2011-07-01,
39136,'Sudoměřice u Tábora',1,2011-07-01,
39172,'Sudoměřice u Bechyně',1,2011-07-01,
39181,'Veselí nad Lužnicí 1',1,2011-07-01,
39901,'Milevsko 1',1,2011-07-01,
39137,'Chotoviny',1,2011-07-01,
39155,'Chýnov',1,2011-07-01,
39173,'Hlavatce',1,2011-07-01,
